Postcode,Street,BinNumber,FillLevel,Weight,Timestamp
TS18,Test Street 2,2,25.37,8.12,2025-04-03T22:31:18.3207999
TS18,Test Street 2,2,27.74,8.66,2025-04-04T22:31:18.3207999
TS18,Test Street 2,2,31.58,9.91,2025-04-05T22:31:18.3207999
TS18,Test Street 2,2,34.27,10.77,2025-04-06T22:31:18.3207999
TS18,Test Street 2,2,36.79,11.95,2025-04-07T22:31:18.3207999
TS18,Test Street 2,2,39,12.79,2025-04-08T22:31:18.3207999
TS18,Test Street 2,2,41.61,14.23,2025-04-09T22:31:18.3207999
TS18,Test Street 2,2,44.63,14.93,2025-04-10T22:31:18.3207999
TS18,Test Street 2,2,46.24,15.58,2025-04-11T22:31:18.3207999
TS18,Test Street 2,2,49.2,16.19,2025-04-12T22:31:18.3207999
TS18,Test Street 2,2,51,17.99,2025-04-13T22:31:18.3207999
TS18,Test Street 2,2,52.64,19.44,2025-04-14T22:31:18.3207999
TS18,Test Street 2,2,55.76,21.03,2025-04-15T22:31:18.3207999
TS18,Test Street 2,2,13.9,2.1,2025-04-16T22:31:18.3207999
TS18,Test Street 2,2,15.51,3.41,2025-04-17T22:31:18.3207999
TS18,Test Street 2,2,18.41,4.39,2025-04-18T22:31:18.3207999
TS18,Test Street 2,2,20.97,5.49,2025-04-19T22:31:18.3207999
TS18,Test Street 2,2,23.37,6.88,2025-04-20T22:31:18.3207999
TS18,Test Street 2,2,25.25,7.6,2025-04-21T22:31:18.3207999
TS18,Test Street 2,2,28.88,8.4,2025-04-22T22:31:18.3207999
TS18,Test Street 2,2,32.49,9.71,2025-04-23T22:31:18.3207999
TS18,Test Street 2,2,35.18,11.68,2025-04-24T22:31:18.3207999
TS18,Test Street 2,2,38.19,12.26,2025-04-25T22:31:18.3207999
TS18,Test Street 2,2,40.59,13.85,2025-04-26T22:31:18.3207999
TS18,Test Street 2,2,43.55,14.61,2025-04-27T22:31:18.3207999
TS18,Test Street 2,2,45.26,16.56,2025-04-28T22:31:18.3207999
TS18,Test Street 2,2,49.11,17.14,2025-04-29T22:31:18.3207999
TS18,Test Street 2,2,11.3,5.45,2025-04-30T22:31:18.3207999
TS18,Test Street 3,3,31.05,6.42,2025-04-02T22:31:18.3207999
TS18,Test Street 3,3,34.09,7.6,2025-04-03T22:31:18.3207999
TS18,Test Street 3,3,36.07,9.4,2025-04-04T22:31:18.3207999
TS18,Test Street 3,3,39.8,11.34,2025-04-05T22:31:18.3207999
TS18,Test Street 3,3,43.31,11.91,2025-04-06T22:31:18.3207999
TS18,Test Street 3,3,45.49,12.43,2025-04-07T22:31:18.3207999
TS18,Test Street 3,3,49.44,14.28,2025-04-08T22:31:18.3207999
TS18,Test Street 3,3,51.54,15.36,2025-04-09T22:31:18.3207999
TS18,Test Street 3,3,53.62,16.73,2025-04-10T22:31:18.3207999
TS18,Test Street 3,3,56.11,17.34,2025-04-11T22:31:18.3207999
TS18,Test Street 3,3,57.67,18.74,2025-04-12T22:31:18.3207999
TS18,Test Street 3,3,60.08,19.48,2025-04-13T22:31:18.3207999
TS18,Test Street 3,3,62.67,21.29,2025-04-14T22:31:18.3207999
TS18,Test Street 3,3,65.32,22.68,2025-04-15T22:31:18.3207999
TS18,Test Street 3,3,8.77,3.86,2025-04-16T22:31:18.3207999
TS18,Test Street 3,3,12.19,5.36,2025-04-17T22:31:18.3207999
TS18,Test Street 3,3,15.53,6.51,2025-04-18T22:31:18.3207999
TS18,Test Street 3,3,18.96,7.97,2025-04-19T22:31:18.3207999
TS18,Test Street 3,3,21.91,9.05,2025-04-20T22:31:18.3207999
TS18,Test Street 3,3,24.28,10.47,2025-04-21T22:31:18.3207999
TS18,Test Street 3,3,26.01,11.93,2025-04-22T22:31:18.3207999
TS18,Test Street 3,3,28.12,12.9,2025-04-23T22:31:18.3207999
TS18,Test Street 3,3,30.76,14.26,2025-04-24T22:31:18.3207999
TS18,Test Street 3,3,32.74,15.04,2025-04-25T22:31:18.3207999
TS18,Test Street 3,3,36.06,16.37,2025-04-26T22:31:18.3207999
TS18,Test Street 3,3,39.61,16.94,2025-04-27T22:31:18.3207999
TS18,Test Street 3,3,41.86,18.62,2025-04-28T22:31:18.3207999
TS18,Test Street 3,3,45.09,20.29,2025-04-29T22:31:18.3207999
TS18,Test Street 3,3,13.48,4.25,2025-04-30T22:31:18.3207999
TS18,Test Street 4,4,22.72,4.57,2025-04-02T22:31:18.3207999
TS18,Test Street 4,4,25.69,5.72,2025-04-03T22:31:18.3207999
TS18,Test Street 4,4,27.88,7.12,2025-04-04T22:31:18.3207999
TS18,Test Street 4,4,30.08,8.44,2025-04-05T22:31:18.3207999
TS18,Test Street 4,4,31.88,9.84,2025-04-06T22:31:18.3207999
TS18,Test Street 4,4,35.4,11.61,2025-04-07T22:31:18.3207999
TS18,Test Street 4,4,37.47,13.28,2025-04-08T22:31:18.3207999
TS18,Test Street 4,4,41.44,14.36,2025-04-09T22:31:18.3207999
TS18,Test Street 4,4,43.82,14.94,2025-04-10T22:31:18.3207999
TS18,Test Street 4,4,47.09,16.73,2025-04-11T22:31:18.3207999
TS18,Test Street 4,4,50.28,17.64,2025-04-12T22:31:18.3207999
TS18,Test Street 4,4,53.94,19.38,2025-04-13T22:31:18.3207999
TS18,Test Street 4,4,56.83,20.96,2025-04-14T22:31:18.3207999
TS18,Test Street 4,4,59.25,22.88,2025-04-15T22:31:18.3207999
TS18,Test Street 4,4,12.42,6.99,2025-04-16T22:31:18.3207999
TS18,Test Street 4,4,15.9,7.68,2025-04-17T22:31:18.3207999
TS18,Test Street 4,4,18.32,8.22,2025-04-18T22:31:18.3207999
TS18,Test Street 4,4,20.34,9.9,2025-04-19T22:31:18.3207999
TS18,Test Street 4,4,21.97,11.62,2025-04-20T22:31:18.3207999
TS18,Test Street 4,4,23.55,13.4,2025-04-21T22:31:18.3207999
TS18,Test Street 4,4,25.79,14.87,2025-04-22T22:31:18.3207999
TS18,Test Street 4,4,27.45,15.57,2025-04-23T22:31:18.3207999
TS18,Test Street 4,4,30.82,17.52,2025-04-24T22:31:18.3207999
TS18,Test Street 4,4,34.37,18.8,2025-04-25T22:31:18.3207999
TS18,Test Street 4,4,37.87,19.75,2025-04-26T22:31:18.3207999
TS18,Test Street 4,4,40.43,21.45,2025-04-27T22:31:18.3207999
TS18,Test Street 4,4,43.78,22.19,2025-04-28T22:31:18.3207999
TS18,Test Street 4,4,46.9,22.88,2025-04-29T22:31:18.3207999
TS18,Test Street 4,4,9.38,5.83,2025-04-30T22:31:18.3207999
TS18,Test Street 5,5,30.89,5.79,2025-04-02T22:31:18.3207999
TS18,Test Street 5,5,34.4,6.47,2025-04-03T22:31:18.3207999
TS18,Test Street 5,5,37.91,7.99,2025-04-04T22:31:18.3207999
TS18,Test Street 5,5,40.62,8.79,2025-04-05T22:31:18.3207999
TS18,Test Street 5,5,43.54,9.59,2025-04-06T22:31:18.3207999
TS18,Test Street 5,5,45.89,10.91,2025-04-07T22:31:18.3207999
TS18,Test Street 5,5,47.43,12.68,2025-04-08T22:31:18.3207999
TS18,Test Street 5,5,50.35,13.23,2025-04-09T22:31:18.3207999
TS18,Test Street 5,5,52.38,14.84,2025-04-10T22:31:18.3207999
TS18,Test Street 5,5,54.07,16.21,2025-04-11T22:31:18.3207999
TS18,Test Street 5,5,57.81,17.98,2025-04-12T22:31:18.3207999
TS18,Test Street 5,5,59.69,19.14,2025-04-13T22:31:18.3207999
TS18,Test Street 5,5,62.62,21.14,2025-04-14T22:31:18.3207999
TS18,Test Street 5,5,65.09,21.95,2025-04-15T22:31:18.3207999
TS18,Test Street 5,5,8.81,2.41,2025-04-16T22:31:18.3207999
TS18,Test Street 5,5,11.18,3.34,2025-04-17T22:31:18.3207999
TS18,Test Street 5,5,15.01,4.55,2025-04-18T22:31:18.3207999
TS18,Test Street 5,5,18.06,6.5,2025-04-19T22:31:18.3207999
TS18,Test Street 5,5,21.66,8.41,2025-04-20T22:31:18.3207999
TS18,Test Street 5,5,23.97,9.02,2025-04-21T22:31:18.3207999
TS18,Test Street 5,5,26.7,10.44,2025-04-22T22:31:18.3207999
TS18,Test Street 5,5,30.57,11.84,2025-04-23T22:31:18.3207999
TS18,Test Street 5,5,34.47,13.66,2025-04-24T22:31:18.3207999
TS18,Test Street 5,5,37.93,15.5,2025-04-25T22:31:18.3207999
TS18,Test Street 5,5,40.9,16.92,2025-04-26T22:31:18.3207999
TS18,Test Street 5,5,44.7,18.47,2025-04-27T22:31:18.3207999
TS18,Test Street 5,5,47.92,19.42,2025-04-28T22:31:18.3207999
TS18,Test Street 5,5,51.08,20.5,2025-04-29T22:31:18.3207999
TS18,Test Street 5,5,6.78,3.82,2025-04-30T22:31:18.3207999
